code	title	info
1542189	폭군의 두 번째 부인이 되는 방법	 어린 황태자가 이혼을 요구했다.  소국의 공주가 불쌍하다는 게 이유였다.   “불쌍하다고 결혼을 하다니요.” “우리도 사랑하지 않는데 결혼했잖아.”  이혼을 하면, 황태자비가 아니게 되면, 살아있을 명분이 없어진다. 자신의 친정이 대죄를 저질렀기 때문이었다.  하지만 천사 같은 황태자의 부탁도 거절할 수 없다. 이혼 후 죽으면 편히 죽지 못할 것이다. 남은 선택지는 하나 밖에 없었다.  탕-! 총의 화기가 뇌를 격통 했다.   그리고 다시는 떠질 리 없는 눈이 떠졌다. 눈 깜박임 한 번에 10년이 지나 있었고, 황제의 두번째 약혼녀가 되어 있었다.     조용히 자신이 목숨 걸며 지켰던 원래의 약혼녀이자, 소국의 공주와 결혼하길 응원하려는데 뭔가 이상하다.   “왜 다른 여자랑 결혼하라고 그러지? 내가 죽으면 화를 풀어 줄 건가?” 폭군이 됐다던 황제는 내 발 밑에 무릎을 꿇고,   “이젠 널 다시는 놓치고 싶지 않아.” 자신의 가문을 멸망시켰던 공작은 사랑을 고백하며,  “제발……. 만약 또다시 그런 선택을 할 거라면 저도 데려가 주세요.” 우연히 구했던 아이는 소드마스터가 되어 칼을 바치겠노라 말한다.   빙의 후회남주 폭군남주 무심여주   문의 : yeonhayan@daum.net 미계약작
1539139	악몽만 먹으려고 했는데요	" 악몽을 꾸는 남주를 괴롭히는 몽마에 빙의했다.  나는 배부르고 남주는 꿀잠 자고. 좋은 게 좋은 거라고 남주의 악몽을 먹어줬는데.  ""예전엔 악몽을 꾸는 게 무서웠는데 요즘은 안 꿀까 봐 무서워. 네가 오지 않을까 봐.""  남주의 처연함이 심상치 않다.   책빙의  원작악역  원작악녀  몽마  남주처연함  유혹남주  다정남주  집착남주  마법사  둘다먼치킨  달달  밤따로낮따로  미계약작 메일 rrfyapdlf@gmail.com"
1531537	남주들이 내 치료에 집착한다	 -옷을 벗어? -그래야 치료하죠. 옷 위에 할 순 없잖아요. -치료를 위해서라면…… 꼭 벗어야겠지?  왜 얼굴을 붉혀. 등에 침 맞으려면 당연히 등을 까야지. . . -잠깐! 대, 대체 그건 뭔가? 그런 흉기를 가지고 뭘 어쩌겠다는 거지? -그럼 치료받지 않으실래요? -아니다. 그대가 하는 일이니 응당 좋은 일이겠지. . . . -뜨, 뜨거워. -너무 뜨거우시면 치워드릴게요. -아니다. 제국의 황태자에게 인내심은 필수 덕목이니 충분히 참을 수 있…… 우아아아, 뜨거! . .  -후후, 그 추나라는 치료를 검증하러 왔다! 듣자하니 경박하게 온몸을 만지면서 하는 치료라던데?  온몸을 만지는 치료가 아닌데? 그리고 뭔 말을 들은 거야, 추나 치료는 옷 안 벗어도 되는데…….  -오랜만에 벗으니 좋군.  왜 지 멋대로 벗지? 스탑, 속옷은 왜 내리려는 건데?  -예약은 하셨나요? 추나는 반드시 예약이 필요한데. -내 명성을 그대도 익히……. -네, 다음 분 들여 보내세요. 그리고 다음부터 차례 안 지키는 분은 그냥 돌려보내. -그대는 내가 누구인지도 모르나? 나는 제국의 공작……. -네, 예약 안 하셨으면 얼른 옷 입고 나가세요. . . -항상 속이 불편하고 더부룩했는데 당신은 ‘신의’가 분명하군! -네. 그럼 안녕히 가세요. -그대가 내 전속 치료사가 되었으면 좋겠는데. . . 그냥 할머니한테 배운 거 시험 삼아 몇 번 해봤을 뿐이다. 지들이 임상 시험 대상인지도 모르고……. 왜 이놈의 남주 후보들은 자꾸만 엉겨 붙는 거야! . . -당장 치료해라. -네? -치료하라고. -저기…… 이런 건 그냥 시간 지나면 낫는데요?  남주 후보들은 그렇다치고 너는 또 왜! 흑막이면 흑막답게 조용히 있어야지 왜 찾아와! 남주 후보들만으로도 머리가 빠지겠는데 흑막까지…… 정말 돌아버리겠다. . . 나는 할머니 유언에 따라 니들처럼 잘 먹고 잘 사는 놈들이 아니라, 의술을 어려운 사람에게 베풀어야 한다고!
1538852	오메가버스에 갇힌 베타를 위한 지침서	 내 나이 스물아홉. 스물아홉 해를 살면서 온갖 인간 군상을 봤다고 자신할 수 있지만. “아, 팀장님…. 잠시만….” “쉿. 가만히 있어.” 이런 사람들은 처음이었다. 아니, 처음은 아니구나. 저번에도 내 옆자리의 대리님이 창고에 갔다가 얼굴이 벌게져서 나왔어. “그래도 누가 들어오면….” “아무도 안 들어와. 잠갔잖아.” 아니요. 저기, 이미 사람이 있습니다만. 다행히 선반마다 쌓인 상자가 내 작은 키와 덩치를 감춰 주지만 여기 사람 있어요. 선반 뒤에도 공간 있어요.    나는 언제 읽었는지 기억도 나지 않는, 그래서 까맣게 잊고 있던 비엘 소설 속에 태어났다. 그것도 내 남동생이 주인수인 오메가버스물에 남동생과 같은 남자를 좋아하며, 오메가가 아니기에 부모에게도, 첫사랑에게도 사랑을 받지 못한다는 좌절감을 느끼며 질투하다가 자멸하는 캐릭터로.    “…….” “으음….” 이 자식, 뭐야. 술을 마셨던 건 기억나는데, 왜 내 옆에 알파인 파이어에그 친구와 벗고 누워 있는 거지.   화금넘어가는자정연재  역하렘  다정남  계략남  편히살고싶은베타여주  오메가버스변형  헌터물  여주현판  힘숨찐여주  먼치킨여주  인외남  환생  책빙의  회귀  커뮤니티반응있음  키워드는 수정될 수 있습니다. 아직 예정인 키워드들도 들어 있습니다. 약간의 갑갑한 구간 있음 주의.  작품 감상에 방해되는 댓글은 무통보 삭제합니다.  트위터 @FireAlerttt 메일 firealerttt@gmail.com 미계약작  선물받은 커미션 표지입니다.  밤 나기 님 : @Nagimission 
1509111	공작이 짝사랑을 시작할 때까지	 “그러게 왜 겁도 없이 사람을 꼬셔?”  그녀가 삐딱하게 벽에 기댄 채 공작에게 말했다. 짝사랑이 중인 여자 치고는 퍽 당당한 태도다.  “미안. 이제 안 그럴게. 너더러 예쁘단 말도 안 하고, 드레스 선물도 안 하고, 넘어질 것 같아도 잡아주지 않을게. 됐지?”  근 한 달을 불순한 목적으로 그녀의 곁을 맴돌던 공작도 뻔뻔한 태도로 두 손을 들었다.  “미친 새끼. 짜증나는 놈. 최악의 남자.”  그녀는 입으로 욕을 뱉었지만 속으론 알았다. 미친 건 자신이다. 저 기막히게 환상적인 파란 눈의 남자 주인공에게 사랑에 빠져버린 자신. 세상에서 가장 멍청하고 자기파괴적인 짝사랑을 시작해버렸으니까.  그는 결코 그녀에게 받은 사랑을 돌려주지 않을 것이다.  그래서 그녀는 자신이 가진 따뜻하고 아찔한 감정의 대상을 바꾸기로 결심했다.  “사랑의 묘약을 마셨어.” “뭐?” “이제 당신을 사랑하지 않는다는 말이지.”  공작은 피식 웃었다.  “네가?”  네가 나를 사랑하지 않을 수 있다고? 글쎄, 설마. 그럴 리가.  공작의 미소는 언제나와 같이 오만하게 그녀의 발언에 대한 불신을 내비쳤다.  그러나 고개를 꺾고 눈을 감았다가 뜬 뒤. 그의 눈동자는 미약한 분노를 품고 있었다.  “그래서, 묘약을 마시고 처음 본 그 새끼는 누군데?”   책빙의  타이밍 어긋난 쌍방 짝사랑  능력 여주  또라이 여주  빙의했는데 꿈이라고 착각하는 중  개썅 마이웨이로 사는 여주  적응력 행동력 만렙 여주  누구보다 위풍당당한 짝사랑러 여주  후회남  반한지 오랜데 곧죽어도 인정 안 하다가 후회하는 남주 
1530201	내 최애는 악역 영애의 남편이다.	" 잠에서 깨어났더니 최애 로판의 차애의 몸에 빙의해있었다.  여주인공을 괴롭히다가 결국 다른 나라의 귀족과 쫓기듯 결혼하는 악녀의 몸에.  중요한건 그게 아니라, 악녀의 남편이 내 최애란 것!  인생 최애와 결혼할 수 있다는 사실!  그런데 뭐, 수호신이 티아르 제국을 떠난다고 했다고? 말동무를 구한다고?  그런데 뭐라고? 나보고 빙의했냐고? 소설의 장르가 뭐냐고? 수호신 당신이 그걸 어떻게 알아?  나를 말동무로 삼는다고?   ""저는 더이상 황태자 전하를 사랑하지 않아요.""  그러니까 너는 여주랑 예쁜 사랑하고 나는 내 최애랑 결혼한다. 알았지?  그런데 여주만을 봐야만 하는 남주가 나를 사랑하는 척을 한다?  이대로 이야기가 흘러가게 놔두면 세계가 멸망한다고? 그렇게 놔둘 수는 없지!  남주는 여주랑 사랑하고 나는 크리스와 결혼한다 오케이?   최애와 결혼하고 세계를 지키기 위해 세실리아는 이야기를 새로 짜낸다.  잘 부탁 드립니다!"
1445396	신인데 공주 몸에 들어와버렸다 (구제목: 신이 부재중인 세계)	" 죽은 줄 알았는데 눈 떠보니 아기가 되어 있었다.  회귀에 빙의에 그것도 모자라 들어온 몸은 황제의 딸이라고? 참고로 황제는 회귀 전 세상을 파멸시킨 장본이었으며 난 그의 손에 죽임을 당한 신... 이었다.  내 처지는 일단 차치하더라도 파멸 엔딩만은 막아야 했다. 주범인 황제에게 신관이 돼서 접근하려는 계획까진 좋았는데 웬걸, 가까이서 보니 재수 없는 거 이상으로 너무 불쌍한 거 아니겠는가? 아예 살 의지조차 없어 보인다.  하는 수 없이 몇 번 도와줬더니 점점 그의 태도가 변했다.   ""넌 나의 친자면서 왜 나를 폐하라 부르는 거지?""  아니 그럼 뭐라 부르리?  갑자기 안으려 하질 않나 같이 살자 하질 않나 심지어는 내 옆에 못 있어서 안달이다.   ""또 그 놈의 신이군. 그 자는 항상 내게서 뭔갈 빼앗아가지. 이번엔 너로군.""  무슨 말을 그렇게 살벌하게 해? 그 신이 바로 나라고...  나 얘랑 잘 해나갈 수 있을까...?    여주시점   초보 아빠의 우당탕탕 육아기   무관심에서 후회집착아빠로   먼치킨 여주   초반고구마주의 로맨스는후반부에   남친후보따로   약피폐 구원서사   !자유연재!   가볍게 즐겨주세요   표지는 직접 그린 루실리아와 제랄드   전개에 큰 변화는 없지만 가끔 글쓴이가 앞 회차의 오타나 문장 등을 수정할 때가 있습니다 "
1541915	육아물 엄마는 꼭 죽어야 하나요?	 “니에타 왕에게 명하니, 왕국의 공주를 대령하라. 그 공주와 함께 제국으로 귀환할 것이다.” 제국의 볼모가 되는 그 순간 떠오른 전생의 기억, 이 작품은 육아물이며 나는 여주인공의 엄마였다. 육아물의 정통 클리셰대로 여주인공을 낳다 죽는 바로 그 엄마.  절대 싫어서 달아나려고 했는데, 마구간을 나서자마자 딱 걸렸다. “내 볼모가 달아나려고 했군.” 그것도 제국의 황제, 그 장본인에게 말이다.   그대로 질질 끌려가서 황비가 된 것까지는 어쩔 수 없었다. 그러면 이제 눈에 띄지 않고 버림 받은 황비가 되려고 했다. “그대 나와 숨바꼭질을 하자는 건가?” 도대체 왜 황제가 내 궁에 있는 거야! 할 일도 없어?  황태후는 나만 보면 젊을 적 생각이 난다며 눈물을 콕콕 찍어대고. 황제는 황태후 좀 찾아가지 말라며 닦달하고. 두 모자간 사이가 나쁜 것 같아서 화해 시켜놨더니…….  “릴리아나, 앞으로 너는 내가 딸처럼 지켜줄 거란다.” 아들의 사랑을 되찾은 황태후는 그렇다치자고.  “간밤엔 그대가 없어서 외로웠어. 그래서 눈을 뜨자마자 그대를 찾아왔지.” 이 잘생긴 황제는 왜 갑자기 눈을 반짝거리며 나를 보냐고…….  나 정말 도망치고 싶어. 이 남자랑 아기를 낳았다가는 다들 나만 빼놓고 행복해질 거잖아. 그런데 왜 외롭다고 속삭이는 이 남자를 두고 갈 수 없는 걸까?    육아물  시월드  가족물  가족후회  쌍방구원  집착남주  도망여주  시한부  오해물  착각물  정령사  헌가족보다는새가족
1536393	집착광공들이 나를 잡아먹으려고 해 	 19금 피폐 bl소설에 빙의해서 어린 집착광공을 만났다.  수에게 괴롭힘을 당하다가 어른이 된 후 흑화해서 감금, 집착, 온갖 흉악한 19금 이루말할 수 없는  짓을 저지르는 황태자공이었다.  음… 그럼, 애초에 공을 괴롭히지 않으면 해피엔딩이 되겠네?    수의 아름다운 미래를 위하여 어린 집착광공을 만났는데…… 생각보다 너무 귀엽다?!  ‘흑, 내 심장. 뽀송뽀송한 아기 맹수 같아.’  우리 애기, 내가 지켜줄게!  나는 자존감이 낮은 집착광공을 우쭈쭈 먹여주고, 키워주고, 수에게도 소개시켜줬다.  “누님, 나 저 새끼 싫어. 불결해.”  물론 수의 반항이 좀 있었지만, 그래도 둘은 결국 조금 친해진 것 같았다. 나는 홀가분하게 떠났다.  나의 최애들이 부디 서로 행복한 사랑을 하길 바라면서. 분명 그랬는데―  몇 년 후, 전쟁에 나간 집착광공이 전쟁터를 샅샅이 뒤집으며 나를 찾고 있다는 소식이 들려왔다.    190cm에 육박하는 키. 짐승처럼 넓은 어깨와 피 내음이 묻은 흑발. 갓 포획된 맹수처럼 흉흉한 눈빛으로 시스레인은 내 허리를 한줌 커다란 손으로 쥐었다.  “아네트는 여전히 작네.”  광기로 물든 싯붉은 눈이 휘었다.  “난 아닌데.”  ㅡ  하인리는 내 리본을 붉디붉은 입술로 물고 끌러내렸다. 스으윽― 얇은 천이 어긋나는 소리가 아슬아슬하게 귓가를 스쳤다.  “날 그렇게 그냥 떠나면 안 되지.”  보랏빛 눈동자가 소름끼치게 아름다운 미소를 머금었다.  “이제 배신하고 도망친 대가를 치를 시간이에요, 누님.”  ㅡ  분명 난생 처음 보는 남자였다. 제 등뒤에 수많은 노예들을 가둬놓고 내게 ‘프로포즈’하는 저 인간은.  “선물입니다. 똑똑한 애완동물을 기르고 싶어했잖습니까.”  해피엔딩을 위하여 꼬맹이들을 키웠을 뿐인데 다들 나를 잡아먹으려고 한다. 왜죠. 무슨 일이 벌어진거죠…?   분명 bl이랬는데  두명만 키웠는데 세명이 나타남  2+1 편의점 역키잡  이능력자 여주 초반 어린이 육아물 ?   미친놈 새싹들을 키워보자 무럭무럭 자라라~    표지:사냐님
1536132	시한부라서 남주의 형과 결혼했더니 내게 집착한다	 19금 로판 소설 속 여주와 같은 병에 걸린 시한부 엑스트라에 빙의했다. 그나마 다행인 것은 여주가 낫는 방법으로 내 병도 치료할 수 있다는 건데... 그러기 위해서는 19금답게 남주와의 접촉이 가장 효과적이지만 큰 문제가 하나 있었다.  그건 바로 남주가 나보다 자그마치 여덟 살이나 어리다는 것...!  ‘원작을 파괴하는 것도 싫지만 여덟 살 차이는 좀...’  남아있는 양심과 죽음에 대한 두려움 사이에서 어떻게 해야 하나 머리 터지게 고민하던 중.  ‘맞아. 남주에게 형이 있었지!’  무려 열 살이나 차이가 나는 형이 있다는 것을 기억해낸 나는 남주의 형을 찾아가려 했지만  수도에 붙어있는 날이 없다는 그를 만나기란 여간 어려운 게 아니었다.  ‘안 돼. 이대로 죽을 수는 없다고.’  기회를 노려 남주의 형이 토벌에서 돌아오기를 손꼽아 기다리기를 어느 날. 드디어 그가 귀환했다는 소식을 듣게 된 나는 곧바로 남주의 형을 찾아갔다.  그리고 간절하게 기다리고 기다렸던 그를 만났는데...  잠깐, 이건 도대체 무슨 기분이지? 정신이 또렷해지고 상쾌해. 기분이 너무 좋잖아.  남주의 형 근처에 다가간 순간 나는 깨달았다. 내 치료제를 찾았다는 것을.  “공작님. 저의 남편이 되어주세요!”    시간이 흐른 뒤, 나는 더 이상 갑자기 깊은 잠에 빠지지 않게 되었다. 그것은 병이 완벽히 깨끗하게 나았다는 것을 의미했다.  그와 함께 지내며 어느 순간 나도 모르게 그에게 마음을 주었지만, 앞으로의 그의 남은 인생을 위해서는 내가 빠져주는게 맞다고 생각했다.  “이제 당신에게 자유를 주려고 해요.”  그래서 그에게 애써 마음을 숨긴 채 헤어지자 말했는데...  “...자유?” “네. 가족과 가문을 지키기 위해서 저와 어쩔 수 없이 결혼했단 걸 알아요. 그러니-” “그만.” “네?” “부인이 하는 말은 끝까지 들어주고 싶지만 오늘만큼은 도저히 그럴 수가 없군요.”  웬만해서는 쉽게 감정을 보이지 않는 사람의 표정이 영 심상찮았다. 내 말에 기뻐할 거라고 생각은 안했지만 이건 완전히 예상 밖의 반응이었다.   “자유라고 했습니까? 자유라, 애초부터 내게 자유는 없었습니다. 그리고 그건 부인도 마찬가지입니다.”  누구보다 자유를 갈망하던 사람이 그렇게 말하며 나를 향한 집착과 소유욕을 깊게 드러내고 있었다.  그럼...  나 남편과 이혼하지 않아도 되는 거야?    책빙의 환생 선결혼후연애 쌍방짝사랑 로코지향 시한부여주 건강빼고다있는여주 능력 특히돈 여주 사이다여주 우리남편하고싶은거다해 치료제남주 자낮남주 집착남주 귀염뽀짝남주동생 원작남주  형바보남주동생과티격태격  키워드는 점점 추가됩니다. 제목은 바뀔 수 있습니다. 
