code	title	info
1523086	악역을 위한 메르헨	   번째 결혼  첫날밤에서 살아남은 신부는 그녀가 처음이었다    대공  이제 우린 어떻게 되는 거죠    무얼 말입니까    제가 살아남게 되면 남남처럼 살자면서요  이혼하는 건가요    그녀의 말에 심장이 쿵 떨어졌다   빌어먹을 주둥이가 그딴 말을 뱉어서는   대공은 악녀라고 소문이 자자한 여인을  끄러미 바라보았다   지난 밤의 상흔이 남아있는 하얀  덜미와 퉁퉁 부어오른 붉은 입술   그녀가 살아남았다는 안도감도 잠시였고   몰려오는 뜨거운  마름에 마른침을 삼켜야 했다    그대는 내 유 한 대공비가 아닙니까    그래서 과거에 뱉었던 호언장담을 뒤로 하고 그녀를 붙들었다   후회스러웠다   이혼해주겠다고 그리 쉽게 말하는 게 아니었다       동  속 악역 공주로 빙의해 남주 대신 저주받은 대공을 선택했다   미남에  몸 좋고  돈 많고  작위 높으면 됐지   저주 그까짓거 뭐라고    어차피 죽을 날도 받아놨는데 돈이나 펑펑쓰며 살아야지    편 하게 살았다   밤이면 짐승으로 변해 날뛰는 대공을 길들이면서    자  던질게요   어와요    커다란 짐승은 댕댕이처럼 내 말도 잘 들었다   치대기는 얼마나 또 치대는 지   그런데 어느 밤    푸하하  간지러워요  그만 핥아   헉  대공    갑자기 저주가 풀려버려 사람이 된 대공이 흔들리는 눈빛으로 나를 내려보고 있었다   올라간 치맛자락과 타액으로 번들거리던  덜미   그리고 잔디밭에 누워있는 나와 나를 올라탄 대공   어  잠깐  무얼 상상하든 오해라고요     빙의  계약 결혼 짐승남 재벌남 집착남 상처남 직진남 능력녀 철벽녀 조련만렙녀 상처녀 쌍방구원    제 이 바뀔   있습니다                                      비엘                 
1526084	남주들과 외딴섬에 갇혀버렸다	 악녀인 나를 경멸하는 피폐 소설 속 남주들과 무인도에 갇혀버렸다   정확히는 십구금  피폐 소설 속  절륜한  남주들과 말이다   게다가 더 큰 문제는 따로 있었다    여주에게 발동해야할 십구금  이벤트가 내게 발동하기 시작했다는 거다     마거릿  나 몸이 이상해       남주 이 어디서 이상한 풀 같은 걸 먹고 오더니 괴로운 얼굴로 야한 신음을 뱉어낸다   여기서 여주는 남주 과 처음으로 몸을 섞었던 것 같은데   나는 조용히 나뭇가지로 흙바닥에 선을 그었다  그리고 남주 에게 말했다     죄송한데  여긴 제 자리니까 넘어오지 마세요     다른 남주들이 그런 날 미친년보듯 봤지만 하는   없었다   나는 이 미친 피폐 소설 속의 여주가 되고 싶진 않았다         치가 떨릴 정도로 내가 싫다고 말하던 인간들이 섬에서 지지고 볶고 생활하자 변했다     내 옆에서 떨어지지 마  위험하니까    제발 널 돕게 해줘  네가 어떻게 될까봐 난 미쳐버리겠어    나 좀 봐줘  응  나도 좀 봐주면 안 돼     여주한테 집착해야할 미친놈들이 내게 집착하기 시작한 것이다   다 필요 없고 저는 그냥 이 섬에서 나가고 싶을 뿐이에요     생존  생존특 여주 메인남주 외 남주다     는 졍                입니다                 
1524189	그래서 공작 부인은 사라졌다	 아이를 낳아주는 조건으로 공작과 계약 결혼을 했다   그리고 순조롭게 임신이 되었다  나는 이제 안락한 생활을 보장받으리라 생각했다   그런데      아이가 태어나면  그 여잔 죽여야지    믿을   없는 진실을 마주했다    공작은 아이만을 원했던 것이었다   그래서  나는 아이를 품은 채로 공작저를 도망쳤다      도망여주 임신튀 계약결혼 쌍방오해 쌍방삽질 집착남주 남주가추격한다 남주돌아버림           는  로 주세요  감사합니다 
1523470	원작에 없는 북부 공작과 결혼했다	  메리 배드 엔딩 이 예정된 쌍방삽질 고구마 로판 속에 빙의했다  그것도 왕국을 멸망시키는 먼치킨 악녀의 언니로   내 눈앞에 이 귀여운 여동생은  년 후 흑마법을 깨우쳐 왕국 하나를 박살낸다고 한다  그러면 너도  나도 다 죽은  숨인데     너도  야 나도  빙의된 것도 서러워 죽겠는데  멸망에 휘말려 죽어야 하는 운명이라니   게다가 빙의한 집안 또한 악녀에게 학대와 방임을  삼는 막장 가문이었다  하는   없이 악녀 동생을 아카데미에 입학시켜 가족에게 떨어뜨린 후  적당히 시기를 봐가며 여동생과 왕국을 떠나려 했다      그 남자가 계약 결혼을 청하기 전까진        당신이 좋은 사람이라고 믿습니다  세리아      그렇게 사람을 바로 믿어도 되나요  가  가주씩이나 하는 사람이    그러자 남자가 눈꼬리를 접어 미소를 지어 보였다   한편으로는 천사도 울고 갈 온 한 웃음이었고  어찌 보면 꿍꿍이가 느껴지는 지나치게 선량한 미소였다    난 다른 사람은 안 믿습니다  하지만 당신을 믿고  내 안 을 믿을 뿐이죠          그의 말은 저를 오래 록 알아온 사람처럼 무척 의미심장하게 느껴졌다     이 남자  대체 무슨 꿍꿍이 까        북부공작남주  능글남  조신남  비밀을숨긴남주  대형견남주     남주   상한남편   당당여주  여동생바보여주  망나니여주  선결혼후연애  책빙의  엑스트라빙의      는 존잘 지인           의 축전입니다  ㅅ                            미 
1521712	그녀가 떠나려 했던 이유	   이혼  해주세요     갑자기 무슨 바람이 들어서     저도 이제 지쳤어요  당신이 나를 사랑해주길 기다리는 거  당신은 영원히 날 사랑하지 않을 테니까  애초에 이런 기다림은 무의미했던 거예요    보답받지 못할 사랑에 지쳤다   방향적인 사랑의 결말은 어차피 파국이었다  그리하여 이혼을 결심했다     대신 조건이 있어요    위자료를 많이 주셨으면 해요    그리고 내게는 병을 고칠 돈이 필요했다       왜 내게 병을 숨겼지     아인스의  소리에 옅은 분노가 섞여 있었다   이상하게도 그의 말을 듣는 순간  나는 더욱 차분해졌다     말하면 뭐가 달라지긴 했을까요  어차피 공작 께 저는 타인이었을 텐데요  그리고 이제 병은 신경 쓰지 않아도 돼요  이미 치료됐으니까     치료  치료가 다 된 사람이 피를  하는가 보지     그건 그냥 후유증  뿐이에요     웃기지 마  그 말을 내가 믿을 것 같아      무심여주 보답받지 못하는 사랑에 지친 여주 체념여주 병약여주 시한부였던 여주 후회남주     마르                       
1513136	쓰레기통이 아닌데요 	 원작여주에게 버려진 남주들의 맹 적인 집착이 나를 향하기 시작했다  이 쓰레기들은 줘도 안가지고 싶은데     역하렘 육성 시뮬레이션 게임  엠프레스 메이커    내  표는 여주 발레리를 잘 키워 히든 엔딩  하렘의 지배자 를 보는 것이다   남주들에게 이리저리 치이는 조연으로 빙의한 게 좀 짜증나긴 하지만  게임 고인 로써 게임을 순조롭게 클리어해나가는 중이었다   그런데 어느 날  발레리가 폭탄 선언을 했다    연애도 결혼도 관심 없어요  전 이대로 공녀 이랑 평생 살거예요     발레리가  비혼 선언 을 하였습니다    메인 루트  하렘의 지배자  대신 마이너 루트  자유로운 영혼 이 실행됩니다          해당 루트가 오래 지속될 경우 관련 엔딩으로 자동 전환됩니다    그때부터 남주들의 상태가 서서히 이상해지기 시작했다    트리샤  내가 잘못했어  내게 다시 돌아와 줘    날 이용해먹던 전 약혼남이 내 앞에 무릎을 꿇고 애원한다    황족이 되고 싶다며  그럼 황족이랑 결혼해야지  멍청아     볼때마다 잡아먹을 듯 굴던 황자는 속이 훤히 보이는 말로 툴툴대는가 하면    나와 함께 떠나요  영생을 누리게 해 줄게요     여주 외의 인간에겐 관심도 없던 엘프들의 왕이 나를 데려가려고 한다    신과 당신 중에서 하나만 택하라면  나는 당연히 당신을 택할 거예요     실없는 농담만 하던 연하 성기사는 급 진지해져서 무섭고    공녀의 진짜 친구는 저뿐인 거  아시지 않습니까    우리는 그저 소꿉친구  뿐이라고 우기던 공작이 귓가에 달콤하게 속삭인다   얘네 갑자기 왜 이래  너네 원래 나 사람 취급도 안 했잖아        급집착하는남주들 후회하며구르는남주들  공략천재고인 여주 빙썅사이다여주  여주땜빵하느라정신없는 무심여주  원작여주는여주덕질    제 과  은 계속 변동될   있습니다  미   컨택은  로 주세요 
1519132	가짜는 꽃가마를 탄다	  회빙환   힐링   성장   소심여주  삽질 잘하는데 능력여주  멘탈케어  불도저동생  재활용   약간개그  가족후회  능력남주  다정남주    고아에서 공녀로 인생역전 은 무슨  구박받는 가짜 공녀로 십 년을 살았다   좋은 사람이지만 눈치가 쥐뿔도 없는 공작과 나를 잡아먹을 것처럼 구는 삼 형제   친딸을 찾았다는 소식에 조용히 쫓겨날 준비를 하고 있었는데  얘가 날 너무 좋아한다     처음에는 나를 친언니처럼 따라주는 진짜 공녀가 성공적으로 사교계에 데뷔할   있도록 도와주는 게 내게 주어진 역할이라 믿었다   그런데    언니  제가 꽃길만 걷게 해드릴게요    힘세고 씩씩한 진짜 공녀는 자기 친오빠들보다 날 더 좋아하고    공녀가 자꾸 신경 쓰이게 굴잖아    안 좋은 소문을 달고 다니는 황태자가 자꾸  작을 부리지를 않나       요  제가요    난데없는 능력을 각성하기까지   원래 이런 건 진짜가 가져야 하는 거 아닌가   진짜 공녀는 내가 아니라  양 동생이라고        주    회     시간 랜덤   미                                       타이포               
1507471	악녀지만 이번생은 설탕길만 걷겠습니다	  빵집착광공여주  악녀빙의  계약결혼  개그   다정녀  다정남  계략남  쌍방치유  햇살녀    이 세계의 흑막 애쉬 브라이스의 전 약혼녀이자 질투에 눈이 멀어 여주를 괴롭히다 결말에 처형당할 악녀로 빙의했다  약혼이고 나발이고 난 이번생에서 조용히 내가 꿈에 그리던 디저트들을 마음껏 먹으며 설탕길만 걷고 싶었다  그러기 위해서는  단 나의 사망플래그부터 정리해둬야 했다    파혼 해주세요    이상하군  그대는 어릴 때부터 나에게  없이 청혼해오지 않았나  갑자기 무슨 심경의 변 가 생긴 거지    짝사랑은 질려서요  저는 이제 사랑받는 쪽이 되고싶어요    하지만 그날 이후 그가 이상해졌다  원작에서는 내가 빙의한 메이첼에게 조 의 관심도 주지 않았던 작자였다    그의 손에 들린 것은 내가 그 록 기다리던 베이커리의 신작 케이크였다   나의 초롱초롱해진 얼굴을 본 이후 그가 자꾸 나에게 달콤한 것을 가져다 주는데           가볍고 달달한 개그 을 써보고 싶었습니다  즐겁게 읽어주시면 기쁠 거 같습니다         뭐써
1523650	공  아들로 키워진 딸입니다	 소설  페르시스의 입양딸  속 아빠에게 버려져 노예로 팔려 다니다가 귀족 영애에게 맞아 죽는 조연  내가 그 조연  메이가 될 줄 누가 알았을까  딸은 가문을  려받지 못하니 필요 없다는 비정한 아빠  페르시스 플로티나 공작  나  고작 열 살이다  열 살   죽지 않으려면 이 집에서 살아야 한다  한데  아빠한테 키워달라는 아양은 떨지 않을 거다  나중에 입양될 주인공이 등장하면 내가 아양을 떨어도 버려질테니까  공작저에서 쫓겨나지 않으려면 아양을 능가하는 메리트가 있어야 한다   그래서  내가 선택한 방법은 그의 아들로 살아가는 거였다       그 후 내 인생은 많이 변했다     과거의 나를 죽    있다면 죽  거다  감히 너를 괴롭게 한 나를 죽    있다면 몇 번이고 죽  거야  네  가 풀릴 때까지     나지 않았습니다    거짓말 하지 마  넌 나를 싫어하고 있잖아  그래서 내게 눈길조차 주지 않는 거잖아       황자 전하껜 아무런 감정도 없습니다  정말로   말의 감정도 없습니다    날 괴롭혔던  황자가 내가 여자란 걸 알게 된 후 내게 매달리고     내가 널 가질   없다면 그 누구도 갖지 못하게 하겠어    포기했던 첫사랑이 나를 집착하고     이제 그만 둬  메이  더는 내 아들로 살아갈 필요 없다  내겐 네 행복이 우선이야    나를 싫어하는 줄 알았던 아빠가 내가 행복하길 원한다    걱정하지 않아도 돼요  아빠  곧 아들 행세를 그만두고 이 집을 떠나 홀로 행복하게 살 거니까요       책빙의  남장여자  후회아빠  남주 후회  강한여주  아양없음    작품 소개는 조 씩 바뀔   있습니다        출처   
1513942	그 던전의  급 시한부 영애	  헌터  여주현판  급 던전공략팀 통째로 로판빙의 인맥개쩌는여주      황제  교황  마탑주랑 비밀친구인 시한부 영애는 어떠세요     좋겠냐     신유리는 클리어 못한 게 없었던  급 헌터팀 소속의 딜러      였지만 하필이면 팀과 통째로   던전에 빙의해 버렸다     던전 롤플레잉 던전 이라고도 불리는 이 던전은  던전 내 세계관의 인 에 빙의해 내 기존 능력치를 가지고 클리어할   없는 대신 엄청난 보상을 주는 던전   다 좋은데 맨손으로 칼도 부러뜨리던 내가  칼 한 번 들면 손 이 부러지는 연약한 귀족 영애요  지  나랑 장난하세요   게다가 같이 들어온 팀원 세 명은   한 놈은 황제  한 놈은 교황  한 놈은 마탑주라고   나만 왜 이렇게 구려  따지던 중에 나만의 능력이 열렸다     신의 상점   대가를 치르면 무엇이든 구매 가능    그런데 신의 상점에서 지  살   있는 게 하나뿐이다     쪼꼬미 약   먹으면 작아진다  이름값을 위해 초코맛이다     지  나랑 장난해     신의 상점 능력으로 하드캐리하는 여주   인맥 장난아닌 영애    하지만 사람들은 황제 교황 마탑주랑 여주가 왜 아는사이인지 모름                   에서 여주 크게 보실   있습니다      에서 현재   크게 보실   있습니다 
