code	title	info
1535849	편하게 살아볼까 했더니	 부유한 준남 에 태어나 아무 걱정없이 빈둥거리는 삶을 살던 엘리시아 폰 세렌체    부모의 성 에 못 이겨 왕실 주최 귀족 연회인  봄의 연회 에 참석한다    봄의 연회 에 참석한다는 것은 온 세상에 배우자를 찾겠다고 외치는 것이나 다름없다    연회 참석 이후 혼담이 거의 들어오지 않아 안심 했는데  옷깃 한 번 스친 적 없는 카시어스 공작이 다짜고짜 혼담을 넣는다   왕위계승서열  위  왕국  등 신랑감인 그가 대체 왜    평생 골치아픈  은 피해가며 놀고 먹는게 꿈이었던 엘리시아   원하는대로 편하게 살아갈   있을까    선약혼후연애  겉다르고속다른여주  냉정남주  귀족  서양풍  선대의비밀  착각  오해   상물  환생   과분하게도 출판사 컨택을 받아 계약하게 되었습니다   들이 관심 가져 주신 덕분입니다  이제 싫든 좋든 완결까지 쓸   밖에 없게 되었네요  플랫폼이 결정되면 이곳에 공지할게요  부족한 부분을 보완하여 최대한 빠르게 찾아뵐   있도록 하겠습니다  감사합니다   
1502786	노르드 월드에서 힐러로 살아가고 있습니다 	        확정  너무 써보고 싶어서 쓰는 여주 겜판      진입장벽높음 호불호 여주겜판  힐러여주 남캐했던여주 착한여주  순한맛 생존물 성장물 잔잔한 상물 레이드   기애애 스파르타 길드생활 사냥터 레벨업  게임생활   썸인듯썸아닌썸같은로맨스      유키띠    기념     감사합니다  작품설정    설정 및   구경하세요  
1499562	상황파악의 중요성re	 다른 남자에게 눈이 멀어 남편까지 죽이려 든 악녀에게 빙의했다   뭔가 조  억울하긴 한데   습할 기회도 없었다  눈을 뜬 순간 전 남편의 배때지에 칼을 찔러넣고 있었거든   뭐 어쩌겠어  이미 저지른  인데  그냥 가만히 닥치고 살아야지   그렇게 첫날부터 대판 사고를 치고 충실하게 방 한구석에서 조약돌마냥 처박혀 있었다   추문을 섞은 대공에게 납작 엎드리는 것은 물론  배에 숨구멍이 나고도 살아남은 전 남편한테 사과하래서 사과도 했다   그런데 뭔가 조  이상하다  왜 다 나를 그런 눈으로 바라보는 거야       아리아  왜  왜 말을 안 했느냐  왜      빙의 첫날부터 다짜고짜 내 뺨을 때렸던  내 아버지라는 공작 은 내 앞에서 무릎을 꿇었다    미안해  아리아  미안해      내 둘밖에 없는 오라비들은 날 앞에두고 하염없이 눈물만 흘리고    대체 누가 당신을 그렇게 만든 것입니까    날 누구보다도 혐오해야 할 대공은 눈을 소슬하게 빛내며 내게 가해자를 묻는다   모두가 내게 잘못을 빌고  사과한다    그런데 왜   나 아무것도 안 했는데요   이게 대체 뭔 상황인데     무골호인 여주 한없이 가벼운 여주 상처가 많은 여주 상황파악 못 하는 여주 눈치가 없지만 자기는 눈치가 빠르다고 생각하는 여주       엘소드 요소 전부 뺀 리메이크 버전입니다                       
1529058	괴물 공작이 나를 아내로 착각한다	 엑스트라에 빙의한 지 어언 반년  집 앞에 쓰러진 흑막을 주웠다  그런데 이 남자  기억상실증에 걸린 것 같다    당신만 보면 심장이 무섭게 뛰고  머리가 깨질 듯이 아프고  정신이 아찔합니다    그  그건      이게 사랑이 아니면 뭡니까    그건 사랑이 아니라 내가 네 뒤통 를 깨부숴서 그런 건데       한 번 시작된 딜리언의 오해는 걷잡을   없이 커졌다    저희 부부였군요    아니  부부 아니고 남이라고    잊어서 미안해요  부인          평생  당신 곁에서 갚을게요          그러니 부인  제 곁을 떠나면 안 됩니다    그의 손길이 내 발 에 닿았다  마치 발 에 족쇄를 채우기라도 할 것처럼    부인이 제 곁을 떠나는 그 날엔      말끝을 흐린 그가 싱긋 웃었다  말 안 해도 알지  라는 뉘앙스에 뒷 이 당겼다     아무래도 잘못 걸린 것 같다     아내 노릇은 여기까지다  어차피 난 가짜니까  눈앞에서 사라진다 해도 찾지 않겠지   그래서 도망쳤다  두 번 다신 딜리언을 마주하는 날은 없을거라 여겼다   그런데 왜      도망은 즐거웠습니까          그래  그 새끼랑 도망쳤으니까 즐거웠겠지  남편 버리고 바람에 야반도주라니    그 새끼가 누군데   또 이상한 오해를 하는 딜리언에 머리가 지끈거렸다    당신  뭔가 착각을  뭐야    철컥  발 에 닿아오는 차가운 감촉에 경악하자 딜리언이 웃는 낯으로 말했다    뭐긴 뭐야    허리를 휘감은 단단한 팔이 날 끌어당겼다  풀썩  그의 품에 안긴 내 귀에 딜리언이 악마처럼 속삭였다    바람 핀 대가지    마주친 딜리언의 붉은 눈이 요요하게 빛났다    말했잖아  내 곁을 떠나지 말라고      책빙의  치유사여주  능력여주  속물여주   착각이 심한 남주 때문에 환장하는 여주  도망여주  다정남주  집착남주  계략남주  내숭남주   줄 채워진 남주  기억상실  착각계  오해  로코  얼떨결에 동거부터  대환장파티      풀              
1529236	13일의 저주에서 살아남기	 황제의 사랑을 받지 못하고 미쳐버린 나머지 흑마법으로 여주인공을 죽여 사형당하는 제국의 황후  이벨린으로 빙의했다   살고 싶으니 원작 여주에게 덤비지 않고 두 사람의 사랑을 응원했다    계획대로 잘 되나 싶었는데     아침 여주가 갑자기 죽어버린다   게다가 황제는 여주를 죽인 범인으로 나를 지 해 처형한다  빙의 시점에서 다시 눈을 뜨고  여주는    에 또 죽는다    그렇게 회귀를 반복  드디어 여주가 죽는 이유를 알아냈다   원작 여주를 살리고  이젠 둘이서 알아서 잘해보라며  따봉을 애교로 그려 넣은 이혼 서류를 황제에게 줬다       의 저주에서 벗어났다고 행복한 시골 생활을 보내길 한 달    어라  황궁에서 이혼 반려 서류가 왔네     반려 사유  이벨린 마그누스         자로 사형 집행     집착남  회귀여주  루프물  오해                  
1532729	집착 속성의 대공에게 개로 붙잡혔다	  꺄    어떡해    오늘 완전 대박이잖아   이게 다 얼마야   이것만 있으면 이제 돈 걱정은 없겠어   열심히 귀족 마차를 털고 있던 그때    넌 뭐지   그 남자가 나타났다    이 자리에 죽길 원하나보군   지옥의 불구덩이를 닮은 것 같은 붉은 눈을 형형히 빛내며    안 죽고 싶어요    너무 살고 싶어요  너무    여기서 주운 거 다 내려놓고 갈게요  제발 살려만 주세요     에 칼이 들어온 상황이라 싹싹 빌며  숨을 구걸하는데 어쩐지 통하지 않는다  따끔한 날붙이의 감촉에 다시 한 번 외쳤다    다 할게요    시키는 거 다 할게요  개처럼 부리셔도 돼요  짖으라면 짖을게요    그길로 난 개가 되었다  대충 비위나 맞추고 살다가 무사히 나오려 했는데    어라   부잣집 개 팔자 나름 괜찮잖아   안분지족을 꿈꾸던 멜로디는 충실한 개의 삶을 살기로 했다   그런데    강아지  내가 만지는 것에 익숙해져라    너를 버릴  은 없어  절대로  아무에게도 빼앗기지 않을 테니 걱정하지 마    이제 무서워도 못 돌아가 멜로디   전쟁귀인 대공  아그니벨로가 내게 집착하기 시작했다   좋은 집에 오래 살게 되어 좋긴 한데    이거 괜찮은 거 맞겠지      멜로디는 아그니벨로의 번들거리는 눈을 보며 등줄기에 식은땀이 흘렀다    깨발랄여주  역할몰입여주  할말다하는여주  핀트나간여주  허당여주  집착남주  흑발적안남주  전쟁귀  북부는 아니지만 어쨌든 대공  소유욕  로코  힐링물  회빙환아    개로 취직한 멜로디  그 개한테 집착하는 아그니벨로  밝지만 사연있는 멜로디  멜로디로 인해 감정 자각하는 아그니벨로  쌍방구원  반쯤 미친 서브남  멜로디 본인도 모르는 사이 개 하나 주움  왜 형제가 집착하는지  결국 개가 되는 건 남주                             
1457574	푸른 수염의 아내가 되었다 722출간	 빙의했다  악당 대공 말룸 발타사르의 두 번째 아내로   대공은 시종 관 다정한데다 신이 빚은 것처럼 아름다운 남자였지만  불로불사를 추구하는 악독한 뱀 괴물이었다  그가 퇴치당하는 것은 세 번째 아내가 등장한 이후로  두 번째 아내인 나는  첫 번째 아내처럼 말룸의 뱃속에 집어삼켜질 역할이었다   그래서 어떤  를 써서든 도망치기로 했는데     아무래도 이 사람  너무 상냥하고 애틋하다      오필리아  아 해 봐요   프 끓여 왔습니다    나는 천둥 소리에 놀란 것처럼 반응하지 못했다  독이라도 든 것은 아닌지 의심스러웠다    어서요  아침부터 아무것도 안 먹었잖아요  걱정 말고 한 입만이라도 먹어 봐요  제 요리 실력이 엉망은 아닙니다    말룸이 연신 재촉했다   려한 사내가 애탄 얼굴을 했다    꼭 한번 해 보고 싶었거든요  아픈 아내에게  프 끓여 주기    머리가 지끈거렸다  말룸 발타사르는 자신이 직접 끓여 온  프를 손에 든 채 훌륭한 남편 행세를 하고 있었다    역하렘  해피엔딩  초반오해물  남주는 로맨스 여주는 스릴러  헌신남주  집착남주  다정한 척 연기하다가 진짜 다정남되는 남주  순애보 서브남주들  인어  쾌활남  해적  황자  예언자  헌신숭배  대형견  애절남주          예정       내용삭제 된 작품입니다  
1466295	다정한 집착남이 찾아왔다	  전편삭제   불면증에 시달리고 있는 블레이크를 위해 플로라가 특단의 조치를 내렸다    손만 잡고 잘게  엄마 믿지    퍽 진지한 낯의 플로라를 가만히 바라보던 블레이크는 참지 못하고 웃음을 터뜨렸다   이미 플로라를 만난 후부터 불면증이 고쳐진 것도 모르고  자신이 옆에 있어야 잠드는 줄 아는 플로라가 너무 귀여웠다   그가 아직 비죽거리는 입꼬리를 매만지며 플로라의 입술을 꾹 눌렀다    귀여워 죽겠다  진짜    옆에 병풍처럼 있던 베니는 차라리 닭이 되고만 싶었다     건들면 무는 여주  여주 건들면 찢어버리는 남주  능력 여주  멍한 여주  세계관 최고 미인 여주  미친놈 남주  암흑의 지배자 남주  집착 남주  유혹 남주  직진남주   익명  이 그려주신 플로라 
1528768	이제 그만할래요 공작님	  할 말이 있어요      혼잣말이 아니었다  하지만 바라봐주길 바라던 상대는 나를 보고 있지 않았다     할 말이 있다고요      그제야 고개를 들어 바라본다  그리고는 귀찮다는 듯 미간을 좁히며 한숨을  해냈다     제가 지  바빠서요  다음에 얘기합시다   레인      그가 축객령을 내리듯 손짓하는 것에  매번 문 앞에서 나를 쫓아냈던 그의 보좌관이 내 앞으로 섰다  이번에도 말하지 않는다면  계속 말할   없을 것이다    내게 남은 시간은 고작  년     파혼해주세요  공작       완벽한 듯 보였던 가면이 깨진 것처럼  레이너드 공작의 가면이 깨졌다  그리고는 불쾌하게  그러져 노려보았다     또 제 관심을 끌려는 거라면 그만하십시오  이젠 지겹습니다      주먹을 꽉 쥐었더니 손이 저렸다  고작 이런 사람과 결혼하기 위해 그렇게 노력했던 거라니    가져온 서류를 내밀며 떨지 않기 위해 애쓰며 말했다     파혼해요  정말로      그리고는 숨을 쉬는 것조차 힘겨워서  도망치듯 방을 나왔다          는 눈숲   입니다                       후회남  집착남  존댓말남  발닦개남  시한부  상처녀  짝사랑녀   무심녀   오해  도망   계략남  다정남  햇살남 
1533312	악녀자매는 몰락했습니다	  순애  로코  공작남주  빙의여주  같이 빙의한 언니  나는 공작을 감고  언니는 황태자를 감는다  로코가 베이스입니다 가벼움에 주의해 주세요  아   물론 가끔 진지할 도 있음   자매가 주인공이라 시점도 자주 변합니다 이 점도 주의해주세요        그런데 오늘은 무슨  로 오신 거에요     이리스는 카엘의 빈손을 응시했다    카엘은 이리스의 집요한 시선에 빈손을 등 뒤로 감췄다        그냥 어쩌다 들렀습니다      공작   저희 집은 지나가다 들리는 휴게소가 아니        공작   물건 두고 가셨습니다     카엘의 등 뒤로     마부가 양손에 물건을 가득 든 채 허겁지겁 달려왔다    카엘은 마부에게 감사를 표하며 물건을 받았다    이리스는 카엘의 손에 들린 물건을 유심히 바라봤다     방문 선물입니다  전에 보니 식기류가 낡은 것 같아서       카엘은 은제 식기를 방문 선물로 내밀었다    그 선물을 받아든 이리스는  큼큼 헛기침하며 시선을 돌렸다        아직 밖이 많이 춥죠  차라도 들고 가세요         환대에 감사합니다     평소에 귀한 물건들을 마차에 실어둔 게 이런 식으로 도움이 될 줄이야    카엘은 현관을 넘으며 안도했다        
